timestamp,close,high,low,open,volume,date
1656077400,267.70001220703125,267.9800109863281,261.7200012207031,261.80999755859375,33923200,2022-06-24
1656336600,264.8900146484375,268.29998779296875,263.2799987792969,268.2099914550781,24615100,2022-06-27
1656423000,256.4800109863281,266.9100036621094,256.32000732421875,263.9800109863281,27295500,2022-06-28
1656509400,260.260009765625,261.9700012207031,255.75999450683594,257.5899963378906,20069800,2022-06-29
1656595800,256.8299865722656,259.5299987792969,252.89999389648438,257.04998779296875,31730900,2022-06-30
1656682200,259.5799865722656,259.7699890136719,254.61000061035156,256.3900146484375,22837700,2022-07-01
1657027800,262.8500061035156,262.9800109863281,254.74000549316406,256.1600036621094,22941000,2022-07-05
1657114200,266.2099914550781,267.989990234375,262.3999938964844,263.75,23824400,2022-07-06
1657200600,268.3999938964844,269.05999755859375,265.0199890136719,265.1199951171875,20859900,2022-07-07
1657287000,267.6600036621094,268.1000061035156,263.2900085449219,264.7900085449219,19658800,2022-07-08
1657546200,264.510009765625,266.5299987792969,262.17999267578125,265.6499938964844,19455200,2022-07-11
1657632600,253.6699981689453,265.94000244140625,252.0399932861328,265.8800048828125,35868500,2022-07-12
1657719000,252.72000122070312,253.5500030517578,248.11000061035156,250.19000244140625,29497400,2022-07-13
1657805400,254.0800018310547,255.13999938964844,245.94000244140625,250.57000732421875,25102800,2022-07-14
1657891800,256.7200012207031,260.3699951171875,254.77000427246094,255.72000122070312,29774100,2022-07-15
1658151000,254.25,260.8399963378906,253.3000030517578,259.75,20975000,2022-07-18
1658237400,259.5299987792969,259.7200012207031,253.67999267578125,257.5799865722656,25012600,2022-07-19
1658323800,262.2699890136719,264.8699951171875,258.9100036621094,259.8999938964844,22788300,2022-07-20
1658410200,264.8399963378906,264.8900146484375,257.0299987792969,259.7900085449219,22404700,2022-07-21
1658496600,260.3599853515625,265.3299865722656,259.07000732421875,265.239990234375,21881300,2022-07-22
1658755800,258.8299865722656,261.5,256.80999755859375,261.0,21056000,2022-07-25
1658842200,251.89999389648438,259.8800048828125,249.57000732421875,259.8599853515625,39348000,2022-07-26
